track_number,timestamp,timestamp_seconds,artist,title,label,video_title,video_url,video_id,upload_date,category
26,1:32:31,5551,Protoculture,Out Of Reality (Spirit Architect Remix),Dacru Records,Psychedelic Trance mix II September 2025,https://youtube.com/watch?v=IZrdCxSzy-I,IZrdCxSzy-I,2025-09-28,Psychedelic Trance
1,00:00,0,Psiger & Lucid Spirit,Center Of The Universe,Dacru Records,Psychedelic Trance mix September 2025 [Cuphead gameplay 1 and 2 player edition],https://youtube.com/watch?v=iliCWEUxlks,iliCWEUxlks,2025-09-19,Psychedelic Trance
2,04:24,264,Disorder,Afterlife,Digital Om,Psychedelic Trance mix September 2025 [Cuphead gameplay 1 and 2 player edition],https://youtube.com/watch?v=iliCWEUxlks,iliCWEUxlks,2025-09-19,Psychedelic Trance
3,07:15,435,Xerox,Inspace,Hommega Productions,Psychedelic Trance mix September 2025 [Cuphead gameplay 1 and 2 player edition],https://youtube.com/watch?v=iliCWEUxlks,iliCWEUxlks,2025-09-19,Psychedelic Trance
4,11:33,693,West Galaxy,Ancestral,Digital Om,Psychedelic Trance mix September 2025 [Cuphead gameplay 1 and 2 player edition],https://youtube.com/watch?v=iliCWEUxlks,iliCWEUxlks,2025-09-19,Psychedelic Trance
5,14:39,879,,Avan7 & Akasha -Third Eye,DM7 Records,Psychedelic Trance mix September 2025 [Cuphead gameplay 1 and 2 player edition],https://youtube.com/watch?v=iliCWEUxlks,iliCWEUxlks,2025-09-19,Psychedelic Trance
6,18:23,1103,Relativ & Fiction,Destruction Activate,Transcape Records,Psychedelic Trance mix September 2025 [Cuphead gameplay 1 and 2 player edition],https://youtube.com/watch?v=iliCWEUxlks,iliCWEUxlks,2025-09-19,Psychedelic Trance
7,22:01,1321,The Alchemists,Brain Absorption,24/7 Records,Psychedelic Trance mix September 2025 [Cuphead gameplay 1 and 2 player edition],https://youtube.com/watch?v=iliCWEUxlks,iliCWEUxlks,2025-09-19,Psychedelic Trance
8,25:32,1532,Humanoids,Genetic Prototype (Album Mix),Nano Records,Psychedelic Trance mix September 2025 [Cuphead gameplay 1 and 2 player edition],https://youtube.com/watch?v=iliCWEUxlks,iliCWEUxlks,2025-09-19,Psychedelic Trance
9,29:04,1744,Artifex,Moonwave,Shamanic Tales,Psychedelic Trance mix September 2025 [Cuphead gameplay 1 and 2 player edition],https://youtube.com/watch?v=iliCWEUxlks,iliCWEUxlks,2025-09-19,Psychedelic Trance
10,32:08,1928,Xerox,Fire,Hommega Productions,Psychedelic Trance mix September 2025 [Cuphead gameplay 1 and 2 player edition],https://youtube.com/watch?v=iliCWEUxlks,iliCWEUxlks,2025-09-19,Psychedelic Trance
11,36:09,2169,Aural Vision,Holographic Information,Dacru Records,Psychedelic Trance mix September 2025 [Cuphead gameplay 1 and 2 player edition],https://youtube.com/watch?v=iliCWEUxlks,iliCWEUxlks,2025-09-19,Psychedelic Trance
12,39:14,2354,Spectree & Kosmun,Binary Genesis,DoubSquare Records,Psychedelic Trance mix September 2025 [Cuphead gameplay 1 and 2 player edition],https://youtube.com/watch?v=iliCWEUxlks,iliCWEUxlks,2025-09-19,Psychedelic Trance
13,42:19,2539,Transient Disorder & Mahaya,Parallel Existence,Audio Unit Records,Psychedelic Trance mix September 2025 [Cuphead gameplay 1 and 2 player edition],https://youtube.com/watch?v=iliCWEUxlks,iliCWEUxlks,2025-09-19,Psychedelic Trance
14,45:52,2752,Mandala,The Muse,Nano Records,Psychedelic Trance mix September 2025 [Cuphead gameplay 1 and 2 player edition],https://youtube.com/watch?v=iliCWEUxlks,iliCWEUxlks,2025-09-19,Psychedelic Trance
15,50:00,3000,Psiger & Cosmic Sidekick,Hyperdimensional Geometry,Dacru Records,Psychedelic Trance mix September 2025 [Cuphead gameplay 1 and 2 player edition],https://youtube.com/watch?v=iliCWEUxlks,iliCWEUxlks,2025-09-19,Psychedelic Trance
16,53:17,3197,X-side & Morsei,Spiritual Substance,Quantum Sorcery Records,Psychedelic Trance mix September 2025 [Cuphead gameplay 1 and 2 player edition],https://youtube.com/watch?v=iliCWEUxlks,iliCWEUxlks,2025-09-19,Psychedelic Trance
17,56:46,3406,DoubKore & Hardynez,Gaia's Awakening,DoubSquare Records,Psychedelic Trance mix September 2025 [Cuphead gameplay 1 and 2 player edition],https://youtube.com/watch?v=iliCWEUxlks,iliCWEUxlks,2025-09-19,Psychedelic Trance
18,1:00:03,3603,Outside Range,Species,Dacru Records,Psychedelic Trance mix September 2025 [Cuphead gameplay 1 and 2 player edition],https://youtube.com/watch?v=iliCWEUxlks,iliCWEUxlks,2025-09-19,Psychedelic Trance
19,1:03:20,3800,Ovnimoon,Dreamer,Iono Music,Psychedelic Trance mix September 2025 [Cuphead gameplay 1 and 2 player edition],https://youtube.com/watch?v=iliCWEUxlks,iliCWEUxlks,2025-09-19,Psychedelic Trance
20,1:09:28,4168,Relativ & MoRsei,Awakened,Mutant Disco Records,Psychedelic Trance mix September 2025 [Cuphead gameplay 1 and 2 player edition],https://youtube.com/watch?v=iliCWEUxlks,iliCWEUxlks,2025-09-19,Psychedelic Trance
21,1:13:52,4432,Enrico Sangiuliano,The Techno Code(Avalon & Tristan rmx),NINETOZERO,Psychedelic Trance mix September 2025 [Cuphead gameplay 1 and 2 player edition],https://youtube.com/watch?v=iliCWEUxlks,iliCWEUxlks,2025-09-19,Psychedelic Trance
22,1:18:30,4710,Spectra Sonics Feat Dj Anny,Hakoasobi,Digital Om,Psychedelic Trance mix September 2025 [Cuphead gameplay 1 and 2 player edition],https://youtube.com/watch?v=iliCWEUxlks,iliCWEUxlks,2025-09-19,Psychedelic Trance
23,1:22:38,4958,Psychotria & Upsight,Music Speaks,Profound Records,Psychedelic Trance mix September 2025 [Cuphead gameplay 1 and 2 player edition],https://youtube.com/watch?v=iliCWEUxlks,iliCWEUxlks,2025-09-19,Psychedelic Trance
24,1:26:25,5185,X-Side,Element Space,Sonoora Records,Psychedelic Trance mix September 2025 [Cuphead gameplay 1 and 2 player edition],https://youtube.com/watch?v=iliCWEUxlks,iliCWEUxlks,2025-09-19,Psychedelic Trance
25,1:30:22,5422,Fiction & Prohecht & i-460,The Substance,Digital Om,Psychedelic Trance mix September 2025 [Cuphead gameplay 1 and 2 player edition],https://youtube.com/watch?v=iliCWEUxlks,iliCWEUxlks,2025-09-19,Psychedelic Trance
26,1:34:19,5659,A-Tech & Transient Disorder,Secret Valley,Dacru Records,Psychedelic Trance mix September 2025 [Cuphead gameplay 1 and 2 player edition],https://youtube.com/watch?v=iliCWEUxlks,iliCWEUxlks,2025-09-19,Psychedelic Trance
27,1:36:56,5816,X-Side,Future Geometries,180 Degrees Records,Psychedelic Trance mix September 2025 [Cuphead gameplay 1 and 2 player edition],https://youtube.com/watch?v=iliCWEUxlks,iliCWEUxlks,2025-09-19,Psychedelic Trance
